post_id,published_at,text,likes,comments_count,shares_count,reactions,comments_list
3742545934132215615,2025-10-13 14:39:32,,1624,211,0,{},[]
3744552253320122861,2025-10-16 09:03:55,Yarın saat 19.00’da @talkxshow başlıyor 👏 #elonmusk #türkelonmusk #duyguatakan,479,97,0,{},[]
3746000206316463962,2025-10-18 09:00:00,Bende ateşli dönem bitmez 🔥 #talkx #duyguatakan #türkelonmusk #evlilik #çocuk,399,73,0,{},[]
3743103472712026877,2025-10-14 09:08:43,Beklenen an geldi 👏 @duyguatakan ’ın konuk olduğu @talkxshow ilk bölümü ile 17 Ekim Cuma YouTube’da yayında 👏 #talkx #türkelonmusk #duyguatakan #elonmusk,371,114,0,{},[]
3748170240170147920,2025-10-21 08:58:14,"Duygu Atakan ; Saba Tümer haber sunarken , ben kahkaha atıyordum 😊 #sabatümer #duyguatakan #talkx #türkelonmusk #kahkaha",125,22,0,{},[]
3746212135093929730,2025-10-18 16:01:48,"If you want to be successful , you must first do what you love 😉 #elonmusk #success #worldwide",1166,119,0,{},[]
3747449759590809425,2025-10-20 09:00:00,"Yeni bölüm 24 Ekim Cuma saat 19.00'da YouTube’da . 
@talkxshow ’un bu haftaki konuğu @erkanyalcinofficiall 
Keyifli sohbet ve çarpıcı açıklamalar ile yine yer yerinden oynayacak 👏 #türkelonmusk #erkanyalçın #gündem #talkx #kadınerkekilişkileri",364,48,0,{},[]
3745274908629308138,2025-10-17 09:02:47,"Even if you are the richest person in the world , you cannot give happiness to your children with money 🙈 #elonmusk #türkelonmusk",1164,160,0,{},[]
3748326907440587322,2025-10-21 14:03:29,Son 3 gün 👏  #talkx #elonmusk #erkanyalçın #türkelonmusk,183,39,0,{},[]
3746626700495595727,2025-10-19 05:45:00,Boşanamadım ve üzerine çocuk oldu 🙈 #duyguatakan #talkx #boşanmak #toplum #baskı,182,29,0,{},[]
