post_id,published_at,text,likes,comments_count,shares_count,reactions,comments_list
O3geYRzxqWA,2025-10-22 09:00:42,إعلامي مصري 🇪🇬 الحل الوحيد نجيبو مغربي يديرالاتحاد المصري .. ومغربي يدرب المنتخب,232,17,0,{},[]
h5-tUDA6fUM,2025-10-22 12:01:24,المغرب 🇲🇦 جاهز لكأس العالم U17🏆وصية كابتن فوزي لقجع رئيس الجامعة الملكية للاشبال 🦁✅ كلمات من ذهب 👑,249,15,0,{},[]
69k2FgsntyI,2025-10-22 10:57:35,مترجم الاسباني لويس إنريكي سعيد بفوز المنتخب المغربي بكأس العالم لأقل من 20 سنة,144,10,0,{},[]
MuK_SyI--DQ,2025-10-21 15:13:41,رحلة المجد.. كيف صنع منتخب المغرب تحت 20 سنة التاريخ أمام الأرجنتين؟ 🇲🇦🏆💫,907,91,0,{},[]
01YySp5oFUQ,2025-10-22 13:00:03,شاهد إنبهار الإعلامي الكويتي الدوري بعد تتويج المغرب بكأس العالم للشباب لأقلu20 سنة امام الأرجنتين,0,13,0,{},[]
GSp4Dpnu2g8,2025-10-22 09:31:19,والعداااو مغربيات مطلعينها على الارجنتين دارو قصرية الرفيسة  شد كرشك بالضحك المغربي شعب غير مفهوم 😂😂,1500,67,0,{},[]
ifoLHRX2cF0,2025-10-22 12:04:42,ملعب الحسن الثاني🔥 تفاصيل تقنية جديدة بأكبر ملعب فى العالم 🏗️  #كاس_العالم_2030 #مشاريع_المغرب,452,38,0,{},[]
3Z18hcjjuT0,2025-10-22 10:33:14,وصداع الراس⬅️مفاجأة عقلك غيحبس فخر ملكي عالمي اجمل فرحة المنتخب المغربي+صدمة لامين يامال على المباشر,3200,200,0,{},[]
eJSDB6V3UjA,2025-10-21 19:16:58,لعالم الآخر مازال ماتاقوش بلي دينا كأس العالم سمع وشوف لحقد لي في قلبهم علينا,3400,529,0,{},[]
ak8A6X2YG6o,2025-10-20 23:22:01,Morocco: A New Power Conquering the World of Football | beIN SPORTS USA,248,142,0,{},[]
